Name: 4, Condition: 3, Run: 33, Date: 10/10/2019 2:42:12 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
4.059998,-1.290617,1.852123,2.246026,-9.567647,0.1791572
4.069998,-1.290617,2.543432,5.011263,-9.517534,0.08398187
4.079998,-0.2857816,3.272703,11.94769,-9.398057,-0.009998696
4.089999,0,4.026199,16.1048,-9.237009,-0.1023688
4.099999,0,4.789455,19.15782,-9.045431,-0.1928231
4.109999,0,5.547528,22.19011,-8.82353,-0.2810584
4.119999,0,6.285341,25.14137,-8.572117,-0.3667796
4.13,0,6.987864,27.95146,-8.292603,-0.4497056
4.14,0.8164567,7.640445,33.82761,-7.954327,-0.5292489
4.15,0.8164567,8.22912,36.18231,-7.592504,-0.6051739
4.16,2.446346,8.740808,44.74862,-7.145018,-0.6766241
4.170001,2.446346,9.16366,46.44003,-6.680617,-0.7434303
4.180001,3.508826,9.487208,51.98414,-6.160776,-0.8050381
4.190001,3.861479,9.702575,54.25622,-5.618214,-0.8612202
4.200001,3.861479,9.802709,54.65675,-5.071647,-0.9119367
