Name: 3, Condition: 1, Run: 4, Date: 10/9/2019 4:15:52 PM, Testing: False
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
2.939998,-3.886911,0.341002,-14.18364,-2.487365,3.435457
2.949998,-3.886911,-0.3193975,-16.82524,-2.655618,3.4089
2.959998,-3.950207,-0.9787403,-19.71579,-2.852776,3.380373
2.969998,-3.950207,-1.622617,-22.2913,-3.075689,3.349616
2.979998,-3.967162,-2.236851,-24.81605,-3.323849,3.316377
2.989998,-3.971683,-2.807771,-27.11782,-3.595028,3.280427
2.999998,-3.971683,-3.322471,-29.17662,-3.886794,3.241559
3.009998,-3.971683,-3.769074,-30.96303,-4.196424,3.199595
3.019998,-3.971683,-4.136965,-32.43459,-4.52077,3.154387
3.029998,-3.971683,-4.416994,-33.55471,-4.856317,3.105824
3.039998,-3.971683,-4.601675,-34.29343,-5.199251,3.053831
3.049998,-3.971683,-4.685326,-34.62804,-5.545532,2.998376
3.059998,-3.971683,-4.664204,-34.54355,-5.890967,2.939466
3.069998,-3.971683,-4.536563,-34.03299,-6.231297,2.877153
3.079998,-3.971683,-4.302737,-33.09768,-6.562274,2.811531
3.089998,-3.926471,-3.965115,-31.56635,-6.877937,2.742751
3.099998,-3.926471,-3.528133,-29.81842,-7.176122,2.67099
3.109998,-3.897083,-2.998192,-27.5811,-7.451933,2.596471
3.119998,-3.897083,-2.383563,-25.12258,-7.703159,2.519439
3.129997,-3.819093,-1.694231,-22.0533,-7.923692,2.440202
3.139997,-3.706064,-0.9417342,-18.59119,-8.109604,2.359106
3.149997,-3.706064,-0.1389585,-15.38009,-8.263405,2.276472
3.159997,-3.633724,0.7001008,-11.73449,-8.38075,2.192665
3.169997,-3.633724,1.560572,-8.292608,-8.463675,2.108028
3.179997,-3.433661,2.427,-4.026646,-8.503942,2.022989
3.189997,-3.183866,3.283599,0.3989325,-8.499952,1.937989
3.199997,-3.183866,4.114563,3.722788,-8.462725,1.853362
3.209997,-3.012061,4.904337,7.569107,-8.387033,1.769491
3.219997,-3.012061,5.637901,10.50336,-8.282,1.686671
3.229997,-2.676362,6.301106,14.49898,-8.13701,1.605301
3.239997,-2.292061,6.880836,18.3551,-7.953459,1.525767
3.249997,-2.292061,7.365318,20.29303,-7.750528,1.448262
3.259997,-1.860287,7.744331,23.53618,-7.515167,1.37311
3.269997,-1.860287,8.0094,24.59645,-7.269202,1.300418
3.279997,-1.627445,8.153952,26.10603,-7.008142,1.230336
3.289997,-1.130115,8.173456,28.17337,-6.726408,1.163072
3.299997,-1.130115,8.065507,27.74157,-6.448993,1.098582
3.309997,-0.5570531,7.829885,29.09133,-6.15808,1.037002
3.319997,-0.5570531,7.468566,27.64605,-5.881619,0.9781854
3.329997,-0.0009467756,6.985709,27.93905,-5.602229,0.9221631
3.339997,0,6.387576,25.5503,-5.346725,0.8686959
3.349997,0,5.682446,22.72978,-5.119428,0.8175016
3.359997,0,4.88049,19.52196,-4.924208,0.7682595
3.369997,0,3.993529,15.97412,-4.764467,0.7206149
3.379997,0,3.034935,12.13974,-4.64307,0.6741841
3.389997,0,2.019334,8.077337,-4.562296,0.6285612
3.399997,0,0.9623758,3.849503,-4.523801,0.5833232
3.409997,0,-0.1195414,-0.4781656,-4.528583,0.5380374
3.419997,0,-1.209554,-4.838215,-4.576965,0.4922677
3.429997,0,-2.290625,-9.1625,-4.668591,0.4455818
3.439997,0,-3.345839,-13.38336,-4.802424,0.3975576
3.449997,0,-4.358696,-17.43479,-4.976772,0.3477899
3.459997,0,-5.3134,-21.2536,-5.189308,0.2958968
3.469997,0,-6.195127,-24.78051,-5.437113,0.2415256
3.479997,0,-6.990283,-27.96113,-5.716724,0.1843584
3.489997,0,-7.686744,-30.74697,-6.024194,0.1241165
3.499997,0,-8.274038,-33.09615,-6.355155,0.06056491
3.509997,0,-8.74358,-34.97432,-6.704899,-0.006484074
3.519997,0,-9.088746,-36.35498,-7.068449,-0.07716856
3.529997,0,-9.305019,-37.22008,-7.44065,-0.1515751
3.539997,0,-9.390053,-37.56021,-7.816252,-0.2297376
3.549997,0,-9.343702,-37.37481,-8.19,-0.3116376
3.559997,0,-9.168015,-36.67206,-8.55672,-0.3972048
3.569997,0,-8.867193,-35.46877,-8.911407,-0.4863189
3.579997,0,-8.447486,-33.78994,-9.249307,-0.5788119
3.589997,0,-7.91709,-31.66836,-9.56599,-0.6744719
3.599997,0,-7.285983,-29.14393,-9.85743,-0.7730461
3.609997,0,-6.565726,-26.2629,-10.12006,-0.8742467
3.619997,0,-5.769268,-23.07707,-10.35083,-0.977755
3.629997,0,-4.910685,-19.64274,-10.54726,-1.083228
3.639997,0,-4.004961,-16.01984,-10.70745,-1.190302
3.649997,0,-3.0676,-12.2704,-10.83016,-1.298604
3.659997,0,-2.114509,-8.458035,-10.91474,-1.407751
3.669997,0,-1.161585,-4.646342,-10.9612,-1.517363
3.679997,0,-0.2244809,-0.8979235,-10.97018,-1.627065
3.689997,0,0.6817052,2.726821,-10.94291,-1.736494
3.699997,0,1.542675,6.1707,-10.88121,-1.845306
3.709997,0,2.345196,9.380786,-10.7874,-1.95318
3.719997,0,3.077345,12.30938,-10.6643,-2.059823
3.729997,0,3.728688,14.91475,-10.51516,-2.164974
3.739997,0,4.290497,17.16199,-10.34354,-2.26841
3.749997,0,4.755858,19.02343,-10.1533,-2.369943
3.759997,0,5.119819,20.47927,-9.948509,-2.469428
