Name: 0-1, Condition: 2, Run: 2, Date: 10/7/2019 9:36:42 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
3.189997,11.95102,3.283599,60.93848,8.276413,-29.22282
3.199997,11.95102,4.114563,64.26234,8.919036,-29.13363
3.209997,11.95102,4.904337,67.42143,9.59325,-29.0377
3.219997,11.95102,5.637901,70.35569,10.29681,-28.93473
3.229997,11.95102,6.301106,73.00851,11.02689,-28.82446
3.239997,11.95102,6.880836,75.32742,11.78017,-28.70666
3.249997,11.95102,7.365318,77.26536,12.55282,-28.58113
3.259997,11.92729,7.744331,78.68646,13.33968,-28.44773
3.269997,11.92729,8.0094,79.74674,14.13715,-28.30636
3.279997,11.87755,8.153952,80.12601,14.93841,-28.15698
3.289997,11.84364,8.173456,80.06839,15.7391,-27.99959
3.299997,11.84364,8.065507,79.6366,16.53546,-27.83424
3.309997,11.79052,7.829885,78.48161,17.32028,-27.66103
3.319997,11.79052,7.468566,77.03635,18.09064,-27.48013
3.329997,11.74079,6.985709,74.90598,18.8397,-27.29173
3.339997,11.72383,6.387576,72.44563,19.56416,-27.09609
3.349997,11.72383,5.682446,69.62511,20.26041,-26.89348
3.359997,11.66166,4.88049,66.16862,20.92209,-26.68426
3.369997,11.66166,3.993529,62.62077,21.5483,-26.46878
3.379997,11.51699,3.034935,58.20769,22.13038,-26.24748
3.389997,11.24572,2.019334,53.0602,22.66098,-26.02087
3.399997,11.24572,0.9623758,48.83237,23.1493,-25.78937
3.409997,11.03887,-0.1195414,43.67732,23.58608,-25.55351
3.419997,11.03887,-1.209554,39.31727,23.97925,-25.31372
3.429997,10.61953,-2.290625,33.31562,24.31241,-25.0706
3.439997,10.37652,-3.345839,28.12271,24.59363,-24.82466
3.449997,10.37652,-4.358696,24.07128,24.83435,-24.57632
3.459997,9.720943,-5.3134,17.63017,25.01065,-24.32621
3.469997,9.720943,-6.195127,14.10327,25.15168,-24.0747
3.479997,8.931995,-6.990283,7.766848,25.22935,-23.8224
3.489997,8.470835,-7.686744,3.136364,25.26072,-23.5698
3.499997,8.470835,-8.274038,0.7871857,25.26859,-23.31711
3.509997,7.276109,-8.74358,-5.869884,25.20989,-23.06501
3.519997,7.276109,-9.088746,-7.250549,25.13738,-22.81364
3.529997,5.95027,-9.305019,-13.419,25.00319,-22.56361
3.539997,5.247224,-9.390053,-16.57131,24.83748,-22.31523
3.549997,5.247224,-9.343702,-16.38591,24.67362,-22.06849
3.559997,3.702107,-9.168015,-21.86363,24.45499,-21.82394
3.569997,3.702107,-8.867193,-20.66034,24.24838,-21.58146
3.579997,1.823552,-8.447486,-26.49574,23.98343,-21.34163
3.589997,0.2094866,-7.91709,-30.83041,23.67512,-21.10488
3.599997,0.2094866,-7.285983,-28.30598,23.39206,-20.87095
3.609997,0,-6.565726,-26.2629,23.12943,-20.63966
3.619997,0,-5.769268,-23.07707,22.89866,-20.41067
3.629997,0,-4.910685,-19.64274,22.70223,-20.18365
3.639997,0,-4.004961,-16.01984,22.54204,-19.95823
3.649997,0,-3.0676,-12.2704,22.41933,-19.73404
3.659997,0,-2.114509,-8.458035,22.33475,-19.51069
3.669997,0,-1.161585,-4.646342,22.28829,-19.28781
3.679997,0,-0.2244809,-0.8979235,22.27931,-19.06501
3.689997,0,0.6817052,2.726821,22.30658,-18.84195
3.699997,0,1.542675,6.1707,22.36828,-18.61827
3.709997,0,2.345196,9.380786,22.46209,-18.39364
3.719997,0,3.077345,12.30938,22.58519,-18.16779
3.729997,0,3.728688,14.91475,22.73433,-17.94045
3.739997,0,4.290497,17.16199,22.90595,-17.71139
3.749997,0,4.755858,19.02343,23.09619,-17.48043
3.759997,0,5.119819,20.47927,23.30098,-17.24742
3.769997,0,5.379435,21.51774,23.51616,-17.01226
3.779997,0,5.53384,22.13536,23.73751,-16.77488
3.789997,0,5.584198,22.33679,23.96088,-16.53527
3.799997,0,5.533719,22.13487,24.18223,-16.29345
3.809997,0,5.387536,21.55014,24.39773,-16.04947
3.819997,0,5.152616,20.61046,24.60383,-15.80344
3.829997,0,4.837609,19.35044,24.79734,-15.55546
3.839997,0,4.452661,17.81064,24.97544,-15.30571
3.849997,0,4.009219,16.03688,25.13581,-15.05435
3.859997,0,3.519786,14.07914,25.2766,-14.80159
3.869997,0,2.997688,11.99075,25.39651,-14.54762
3.879997,0,2.456789,9.827155,25.49478,-14.29267
3.889997,0,1.911238,7.644952,25.57123,-14.03696
3.899997,0,1.375167,5.500668,25.62624,-13.7807
3.909997,0,0.8624346,3.449739,25.66074,-13.52409
3.919997,0,0.38635,1.5454,25.67619,-13.26733
3.929997,0,-0.0406643,-0.1626572,25.67456,-13.01058
3.939997,0,-0.4071665,-1.628666,25.65828,-12.754
3.949997,0,-0.7030569,-2.812228,25.63015,-12.4977
3.959997,0,-0.9197189,-3.678875,25.59336,-12.24176
3.969997,0,-1.050212,-4.200849,25.55136,-11.98625
3.979997,0,-1.089399,-4.357594,25.50778,-11.73117
3.989997,0,-1.034068,-4.136274,25.46642,-11.47651
3.999997,0,-0.88299,-3.53196,25.4311,-11.2222
4.009997,0,-0.6369523,-2.547809,25.40562,-10.96814
4.019997,0,-0.2987808,-1.195123,25.39367,-10.71421
4.029997,0,0.1267618,0.5070473,25.39874,-10.46022
4.039998,0,0.6329919,2.531968,25.42406,-10.20598
4.049998,0,1.211469,4.845874,25.47252,-9.951252
4.059998,0,1.852123,7.408492,25.5466,-9.695786
4.069998,0,2.543432,10.17373,25.64834,-9.439302
4.079998,0,3.272703,13.09081,25.77925,-9.18151
4.089999,0,4.026199,16.1048,25.9403,-8.922107
4.099999,0,4.789455,19.15782,26.13187,-8.660788
4.109999,0,5.547528,22.19011,26.35378,-8.39725
4.119999,0,6.285341,25.14137,26.60519,-8.131198
4.13,0,6.987864,27.95146,26.8847,-7.862351
4.14,0,7.640445,30.56178,27.19032,-7.590448
4.15,0,8.22912,32.91648,27.51949,-7.315253
4.16,0,8.740808,34.96323,27.86912,-7.036562
4.170001,0,9.16366,36.65464,28.23566,-6.754205
4.180001,0,9.487208,37.94883,28.61515,-6.468054
4.190001,0,9.702575,38.8103,29.00326,-6.178021
4.200001,0,9.802709,39.21083,29.39536,-5.884068
4.210001,0,9.782478,39.12991,29.78666,-5.586201
4.220002,0,9.638815,38.55526,30.17222,-5.284479
4.230002,0,9.37073,37.48292,30.54704,-4.979009
4.240002,0,8.979443,35.91777,30.90622,-4.669947
4.250002,0,8.468278,33.87311,31.24496,-4.357497
4.260003,0,7.8427,31.3708,31.55866,-4.041911
4.270003,0,7.110176,28.4407,31.84307,-3.72348
4.280003,0,6.280074,25.12029,32.09427,-3.402537
4.290003,0,5.363575,21.4543,32.30882,-3.079449
