Name: Lorenzo, Condition: 2, Run: 11, Date: 10/8/2019 12:10:46 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
3.879997,0,2.456789,9.827155,-3.306007,-2.074741
3.889997,0,1.911238,7.644952,-3.229557,-2.107037
3.899997,0,1.375167,5.500668,-3.17455,-2.138782
3.909997,0,0.8624346,3.449739,-3.140053,-2.170183
3.919997,0,0.38635,1.5454,-3.124599,-2.201429
3.929997,0,-0.0406643,-0.1626572,-3.126225,-2.232691
3.939997,0,-0.4071665,-1.628666,-3.142512,-2.264116
3.949997,0,-0.7030569,-2.812228,-3.170634,-2.295822
3.959997,0,-0.9197189,-3.678875,-3.207423,-2.327896
3.969997,0,-1.050212,-4.200849,-3.249431,-2.360391
3.979997,0,-1.089399,-4.357594,-3.293007,-2.393321
3.989997,0,-1.034068,-4.136274,-3.33437,-2.426665
3.999997,0,-0.88299,-3.53196,-3.369689,-2.460361
4.009997,0,-0.6369523,-2.547809,-3.395168,-2.494313
4.019997,0,-0.2987808,-1.195123,-3.407119,-2.528384
4.029997,0,0.1267618,0.5070473,-3.402048,-2.562405
4.039998,0,0.6329919,2.531968,-3.376729,-2.596172
4.049998,0,1.211469,4.845874,-3.32827,-2.629455
4.059998,0,1.852123,7.408492,-3.254185,-2.661997
4.069998,0,2.543432,10.17373,-3.152448,-2.693521
4.079998,0,3.272703,13.09081,-3.02154,-2.723737
4.089999,0.04785398,4.026199,16.29621,-2.858577,-2.752322
4.099999,0.1382778,4.789455,19.71093,-2.661468,-2.778937
4.109999,0.3168649,5.547528,23.45757,-2.426893,-2.803206
4.119999,0.3959857,6.285341,26.72531,-2.159639,-2.824802
4.13,0.4705856,6.987864,29.8338,-1.861301,-2.843415
4.14,0.5417944,7.640445,32.72896,-1.534012,-2.858755
4.15,0.5847456,8.22912,35.25546,-1.181457,-2.87057
4.16,0.6220454,8.740808,37.45141,-0.8069431,-2.878639
4.170001,0.6616057,9.16366,39.30106,-0.4139324,-2.882779
4.180001,0.6616057,9.487208,40.59526,-0.007979884,-2.882859
4.190001,0.6740391,9.702575,41.50645,0.4070846,-2.878788
4.200001,0.6740391,9.802709,41.90699,0.8261545,-2.870527
4.210001,0.6740391,9.782478,41.82607,1.244415,-2.858082
4.220002,0.6740391,9.638815,41.25142,1.656929,-2.841513
4.230002,0.6740391,9.37073,40.17908,2.05872,-2.820926
4.240002,0.6740391,8.979443,38.61393,2.444859,-2.796477
4.250002,0.6740391,8.468278,36.56927,2.810552,-2.768372
4.260003,0.6740391,7.8427,34.06696,3.151222,-2.736859
4.270003,0.6740391,7.110176,31.13686,3.46259,-2.702233
4.280003,0.6740391,6.280074,27.81645,3.740755,-2.664826
4.290003,0.6740391,5.363575,24.15046,3.98226,-2.625003
4.300004,0.6740391,4.373323,20.18945,4.184154,-2.583162
4.310004,0.6740391,3.323409,15.98979,4.344052,-2.539721
4.320004,0.6740391,2.228979,11.61207,4.460173,-2.495119
4.330004,0.6740391,1.106074,7.120453,4.531377,-2.449805
4.340004,0.6740391,-0.02871228,2.581307,4.55719,-2.404234
