Name: Lorenzo, Condition: 2, Run: 12, Date: 10/7/2019 11:17:00 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
2.439998,0,7.620286,30.48114,4.167311,2.989947
2.449998,0,6.833663,27.33465,4.440658,3.034353
2.459998,0,5.970262,23.88105,4.679468,3.081148
2.469998,0,5.044762,20.17905,4.881258,3.129961
2.479998,0,4.072771,16.29108,5.044169,3.180402
2.489998,0,3.070551,12.28221,5.166992,3.232072
2.499998,0,2.054733,8.21893,5.249181,3.284564
2.509998,0,1.042018,4.16807,5.290862,3.337473
2.519998,0,0.04890884,0.1956354,5.292818,3.390401
2.529998,0,-0.9086647,-3.634659,5.256472,3.442966
2.539998,0,-1.815495,-7.261979,5.183852,3.494804
2.549998,0,-2.657445,-10.62978,5.077554,3.545579
2.559998,0,-3.421678,-13.68671,4.940687,3.594986
2.569998,0,-4.096867,-16.38747,4.776812,3.642754
2.579998,0,-4.67339,-18.69356,4.589877,3.688653
2.589998,0,-5.143495,-20.57398,4.384137,3.732494
2.599998,0,-5.501416,-22.00566,4.16408,3.774135
2.609998,0,-5.74346,-22.97384,3.934342,3.813478
2.619998,0,-5.868084,-23.47234,3.699618,3.850475
2.629998,0,-5.875865,-23.50346,3.464584,3.88512
2.639998,0,-5.7695,-23.078,3.233804,3.917459
2.649998,0,-5.55373,-22.21492,3.011655,3.947575
2.659998,0,-5.23526,-20.94104,2.802244,3.975598
2.669998,0,-4.822548,-19.29019,2.609343,4.001691
2.679998,0,-4.325731,-17.30293,2.436313,4.026054
2.689998,0,-3.756363,-15.02545,2.286059,4.048914
2.699998,0,-3.127207,-12.50883,2.160971,4.070524
2.709998,0,-2.451981,-9.807925,2.062891,4.091153
2.719998,0,-1.7451,-6.980399,1.993088,4.111084
2.729998,0,-1.021395,-4.085579,1.952232,4.130606
2.739998,0,-0.2958341,-1.183336,1.940398,4.15001
2.749998,0,0.4167638,1.667055,1.957069,4.169581
2.759998,0,1.102007,4.408029,2.001149,4.189592
2.769998,0,1.746206,6.984822,2.070998,4.210302
2.779998,0,2.336623,9.346494,2.164463,4.231947
2.789998,0,2.861721,11.44688,2.278931,4.254736
2.799998,0,3.311357,13.24543,2.411386,4.27885
2.809998,0,3.677024,14.70809,2.558466,4.304435
2.819998,0,3.951927,15.80771,2.716543,4.3316
2.829998,-0.6395651,4.131166,13.9664,2.856207,4.360162
2.839998,-0.9865664,4.211803,12.90095,2.985217,4.390015
2.849998,-1.30418,4.192916,11.55494,3.100766,4.421022
2.859998,-1.30418,4.075614,11.08574,3.211623,4.453139
2.869998,-1.595797,3.863001,9.068816,3.302312,4.486162
2.879998,-1.890805,3.560119,6.677255,3.369084,4.519853
2.889998,-2.130428,3.173846,4.173673,3.410821,4.553961
2.899998,-2.396048,2.712757,1.266835,3.423489,4.588196
2.909998,-2.573504,2.186956,-1.546193,3.408027,4.622276
2.919998,-2.737398,1.607884,-4.518056,3.362847,4.655905
2.929998,-2.832343,0.988086,-7.377028,3.289077,4.688796
2.939998,-2.889988,0.341002,-10.19594,3.187117,4.720667
2.949998,-2.889988,-0.3193975,-12.83754,3.058742,4.751254
2.959998,-2.889988,-0.9787403,-15.47491,2.903992,4.780294
2.969998,-2.889988,-1.622617,-18.05042,2.723488,4.807529
2.979998,-2.871904,-2.236851,-20.43502,2.519138,4.83272
2.989998,-2.82217,-2.807771,-22.51976,2.29394,4.855659
2.999998,-2.781479,-3.322471,-24.4158,2.049782,4.876157
3.009998,-2.724965,-3.769074,-25.97616,1.790021,4.894057
3.019998,-2.70914,-4.136965,-27.38442,1.516176,4.909219
3.029998,-2.693316,-4.416994,-28.44124,1.231764,4.921537
3.039998,-2.679753,-4.601675,-29.12571,0.940507,4.930942
3.049998,-2.648104,-4.685326,-29.33372,0.6471698,4.937414
3.059998,-2.648104,-4.664204,-29.24923,0.3546774,4.94096
3.069998,-2.598371,-4.536563,-28.53974,0.06928007,4.941653
3.079998,-2.533944,-4.302737,-27.34672,-0.2041872,4.939611
3.089998,-2.448042,-3.965115,-25.65263,-0.4607134,4.935004
3.099998,-2.134949,-3.528133,-22.65233,-0.6872367,4.928132
3.109998,-2.134949,-2.998192,-20.53256,-0.8925623,4.919207
3.119998,-1.667006,-2.383563,-16.20227,-1.054585,4.908661
3.129997,-1.395734,-1.694231,-12.35986,-1.178184,4.896879
3.139997,-1.142548,-0.9417342,-8.337128,-1.261555,4.884264
3.149997,-0.8656244,-0.1389585,-4.018332,-1.301738,4.871246
3.159997,-0.8656244,0.7001008,-0.6620946,-1.308359,4.858163
3.169997,-0.5717471,1.560572,3.9553,-1.268806,4.845475
3.179997,-0.2948242,2.427,8.528704,-1.183519,4.83364
3.189997,-0.04615855,3.283599,12.94976,-1.054021,4.8231
3.199997,0,4.114563,16.45825,-0.889439,4.814205
3.209997,0,4.904337,19.61735,-0.6932655,4.807272
3.219997,0,5.637901,22.5516,-0.4677495,4.802595
3.229997,0,6.301106,25.20442,-0.2157052,4.800438
3.239997,0,6.880836,27.52334,0.05952817,4.801033
3.249997,0,7.365318,29.46127,0.3541409,4.804574
3.259997,0,7.744331,30.97732,0.6639141,4.811213
3.269997,0,8.0094,32.0376,0.9842901,4.821056
3.279997,0,8.153952,32.61581,1.310448,4.834161
3.289997,0,8.173456,32.69382,1.637386,4.850534
3.299997,0,8.065507,32.26203,1.960007,4.870134
3.309997,0,7.829885,31.31954,2.273202,4.892867
3.319997,0,7.468566,29.87427,2.571945,4.918586
3.329997,0,6.985709,27.94284,2.851373,4.9471
3.339997,0,6.387576,25.5503,3.106876,4.978169
3.349997,0,5.682446,22.72978,3.334174,5.011511
3.359997,0,4.88049,19.52196,3.529393,5.046805
3.369997,0,3.993529,15.97412,3.689134,5.083696
3.379997,0,3.034935,12.13974,3.810532,5.121802
3.389997,-0.0111193,2.019334,8.03286,3.890861,5.16071
3.399997,-0.02694351,0.9623758,3.741729,3.928278,5.199993
3.409997,-0.02694351,-0.1195414,-0.5859396,3.922418,5.239217
3.419997,-0.02694351,-1.209554,-4.94599,3.872958,5.277947
3.429997,-0.02694351,-2.290625,-9.270274,3.780256,5.31575
3.439997,-0.02694351,-3.345839,-13.49113,3.645344,5.352203
3.449997,-0.02694351,-4.358696,-17.54256,3.469919,5.386902
3.459997,-0.02694351,-5.3134,-21.36138,3.256305,5.419465
3.469997,-0.02694351,-6.195127,-24.88828,3.007422,5.449539
3.479997,-0.02694351,-6.990283,-28.06891,2.726733,5.476807
3.489997,-0.02694351,-7.686744,-30.85475,2.418186,5.500988
3.499997,-0.02694351,-8.274038,-33.20393,2.086147,5.52185
3.509997,-0.00772846,-8.74358,-35.00523,1.736094,5.539211
3.519997,0,-9.088746,-36.35498,1.372544,5.552937
